Price;Metro;Name;Vmestimost;Area;Footprint;OtMetro
от 1500 руб. / ч;Красносельская;Лофт с кухней и камином для любого мероприятия;1;120 м2;50 гостей;15 минут
от 2500 руб. / ч;Проспект Мира;Зал на Проспекте Мира;35 гостей;60 м2;35;7 минут
от 2500 руб. / ч;Ленинский проспект;Светлый лофт для творческих встреч;35 гостей;135 м2;30;5 минут
от 3500 руб. / ч;Алексеевская;Лофт для event-мероприятий на Алексеевской;250 гостей;180 м2;170;7 минут
от 5000 руб. / ч;Улица 1905 года;Барный лекторий на Трехгорке;250 гостей;200 м2;120;15 минут
от 1100 руб. / ч;Китай-город;Уютный лофт для семейных торжеств и особых случаев;30 гостей;60 м2;29;2 минут
от 2000 руб. / ч;Красные ворота;Модный лофт на Красных Воротах;50;50 гостей;20 мест;112 м2
от 1000 руб. / ч;Китай-город;Лофт с акварельными стенами;150 гостей;180 м2;150;5 минут
от 1500 руб. / ч;Лубянка;Лофт с арками;30 гостей;50 м2;25;2 минут
от 2000 руб. / ч;Новокузнецкая;Яркий лофт для детских праздников и дружеских встреч;45 гостей;80 м2;30;3 минут
от 1200 руб. / ч;Электрозаводская;Лофт-студия с подиумом и камином на Электрозаводской;50 гостей;160 м2;20;7 минут
от 3200 руб. / ч;Бауманская;Art Loft;50 гостей;100 м2;50;5 минут
от 1500 руб. / ч;Нагатинская;Белый зал;15 гостей;65 м2;10;6 минут
от 2000 руб. / ч;Нагатинская;Уютное пространство на Варшавке;45 гостей;90 м2;20;6 минут
от 1500 руб. / ч;Нагатинская;Лофт Fantasy;35 гостей;75 м2;24;6 минут
от 3000 руб. / ч;Сокольники;Дизайнерский лофт для проведения мероприятий;150 гостей;225 м2;70;8 минут
от 3000 руб. / ч;Курская;Лофт с панорамными окнами;60 гостей;145 м2;40;15 минут
от 1000 руб. / ч;Сходненская;Лофт на территории старинной усадьбы;70 гостей;245 м2;50;5 минут
от 1500 руб. / ч;Электрозаводская;Loft-студия для мастер-классов и фотосьемок;40 гостей;160 м2;40;7 минут
от 1500 руб. / ч;Бауманская;Лофт с колоннами и декоративным камином;70 гостей;80 м2;50;7 минут
от 1500 руб. / ч;Первомайская;Уютная студия на Первомайской;20 гостей;50 м2;20;4 минут
от 1000 руб. / ч;Курская;Лофт для мероприятий на Яузе;50 гостей;80 м2;30;10 минут
от 1000 руб. / ч;Электрозаводская;Уютный лофт на Электрозаводе;50 гостей;112 м2;35;7 минут
от 2500 руб. / ч;Улица 1905 года;Бар для вечеринок на 1905 года;35 гостей;50 м2;25;10 минут
от 5000 руб. / ч;Нагатинская;Стильный лофт с верандой;80 гостей;150 м2;30;7 минут
